Kalamang_Sentence,English_Translation
Pasa jatat mu yapta tok naharen.,The divided the rice and there were leftovers.
Naiar me watko saerak.,There are no lontar palms here.
Rukmana emun tumunun cicaun kaborun nakabung.,Rukmana's mother's small child has stomach cramps.
Suci emun nakal ning deba.,Suci's mother has a headache.
Halim tumunun nakal pokpok tok karanin.,Halim's kid's fontanelle isn't hard yet.
Jafaris me toni ladanun me nakacuk teba.,"Jafaris said he wants to rub his shirt. (He wants to wash without using a brush, just by rubbing.)"
In kapasat jien eba perko nakucak.,We get cotton and then rub it in water.
Unyil emun Unyil esunat korunat naladur.,Unyil's mother massages Unyil's father's foot.
Rustam kokoun nalat.,Rustam's chicken is dead.
Salima emun lenggalengga naloli minggi sor kuarkin.,"Salima's mother is pestling chilli, she wants to cook fish with that."
Kaliset me Aina emun kewe anggasun me per nam.,If it rains the water in front of Aina's mother's house puddles.
Tamandi emun toni ma sor met namakin.,Tamandi's mother said she was creeped out by that fish.
"Naman ba me? Geo, Kalamang mu ba.","Who's that? Oh, just Kalamang and family."
Emumur lepalepanggi yali namasawuot.,The women are racing in small wooden canoes.
Saleha se namgon.,Saleha is married.
Dalimabon Salimabon naras Nazua namot.,Dalima and Salima were fighting and Nazua blocked them.
Tuti emun namun cauna Dela esun.,Tuti's second husband is Dela's father.
Nabil emun Dian emun tumununat namusi.,Nabil's mother is kissing Dian's mother's child.
Bobinan Pakpaka bot.,Bobi went to Fakfak too.
Malaikat ba kierat nanetkon o!,Get lost you two! (Lit. May the angel of death eat you two!)
Pianinggana he yonsongat koluk.,We had all gotten a motor.
Tumtum narabir.,The kids are making noise.
Sikan eira naras.,Two cats are fighting.
Davit emun pasa narawi.,Davit's mother is filtering rice.
Enem desa ma sayang narekin deba.,The village head's wife counting nutmegs.
An erat masakte nares.,"I'm lifting a canoe, it's too heavy."
Ma kanggusunat naroman.,He leans his chin in his hands.
Mama leba mu pawan narorar teba.,Uncle imam and family are dragging planks.
Ma borani narorik.,He ran aground first.
Kokok narun saerak.,There are no chicken eggs.
Kewe me tok nasalen.,That house is still open.
Rustam tok nasaliknin.,Rustam isn't circumcised yet.
Pak tolasta me tumtum nasambiande mososor.,In the fasting month the kids are diligent with going to the mosque.
Mayor kieun ma kadera kerunggo melalu nasandar.,Mayor's wife sits leaning on a chair.
Bilal esun mu Tamisengga bara tiri nasangginggir.,Bilal's father's family are going down to Antalisa sailing close to the coast.
Citra ma marmarta eba Ngais kareat naseduk ma tur.,"Citra was walking, then Ngais pulled a rope and she fell."
Kalamang me nasek ma tolasnin.,"Kalamang broke his fast, he isn't fasting."
Warkin nasesakta ror temtem pouk.,When it's high tide tree stems float.
Tumtum Rajiba taraun konggoa nasibur.,The kids are reciting at Rajiba's grandfather.
"Ma kadenunat muk, naunun nasuarik.","He shook his body, his soil scattered."
Ruslan taraun ma kalifan nasuat.,Ruslan's grandmother is tucking in a mat.
Tomi kieun kofirat gareorkin ba nasuena saerak.,Tomi's wife wants to serve coffee but there is no sugar.
Mu tiriat puera sontum nasula.,They hit the drum and people danced.
Kalis barara an per natada.,"The rain is falling, I'm collecting water."
Mu nautu.,They are hitting each other.
Dian esun et nauanona reba.,Dian's father is balancing the canoe.
Riski emun mu distrio nauhalar.,Riski's mother and family are marrying on the mainland.
Mu perusahanggoa nauleluk.,They meet each other on the mainland.
Tat me naun ten.,Tat has bad soil.
Naun kerkap sikola kerun me.,Above the school there is red soil.
"Ma urawat komahal, ka tok mat naunakte.","He doesn't know the way, you show him."
Mu warara naunin.,They are marking coconuts.
Opa naupar me kalis bara.,This morning it rained.
Hairul yonsongat kinkinde tiri naurar.,Hairul is steering the motor boat sailing around.
Wiseme mu toni Japangbon Beladarbon nausair.,"Before, they said Japan and The Netherlands were at war."
Salima emun weleat nawan weinun.,Salima's mother is serving vegetables again.
Mustafa esun mu amdirga botkin mu tok Sakinat nawanggar.,"Mustafa's father and family want to go to the garden, they are still waiting for Sakina."
Bakri emun min ba Desi mat nawarar.,Bakri's mother sleeps but Desi woke her up.
Rajia emun kukis nawerar teba.,Rajia's mother is making pastry.
Marain keweun osane nawanona.,He himself tidied his house up there.
Nebasora natuka?,What kind of fish is pecking?
"Nebaunara ka he narasaet, pasa opa me...","If you tasted its whatsit, that rice..."
Kamun koi nebain!,Don't you whatsit again!
"Nebara paruo? Ge, o...","What are you doing? Oh, nothing..."
Walaka me nebir reidak.,At Gorom there are many nebir fish.
Bak sekolao me per neko.,There is water inside the container at school.
Ibu me ririnun anat nemies.,Miss's length exceeds mine.
Mena go ginggirta me nene se ewa.,When it's late afternoon the cicadas make their sound.
Kewe nerun sausaun.,The inside of the room is dark.
"Mei, ge, kewe nerunggo melalu.","Come one, sit inside the room."
Ror sieun ma me he newa.,The edge of the piece of wood fits.
Et owa me newas.,The canoe over there is stranded.
An se uranan Sakina mukonggoat newer.,I already paid my debt at Sakina's.
Manado bo nika jie reba.,Manado goes to buy fishing line.
Nina ma kadenun lalang.,Grandmother has a fever.
Pak guru Marlan gierun ning.,Teacher Marlan has a sore tooth.
"Gustami mu mat koewara, ma nokin.","Gustami and his friends are mad at him, he is silent."
Mier melalu noknok.,They sit whispering.
Nop leng wa me saerak.,There is no nop-bamboo in this village.
Yusra emun mat tura ma bo nung.,"Yusra's mother hit him, he goes to hide."
"Kanggirun se nunun, kamun mat koyalin.","She closed her eyes, don't you disturb her."
Yarkinkinbon supaya kalisero me mamun raparin to.,[Make it] with small stones so that if it rains it doesn't become too packed.
Irul emun me ofin paning deba Mustafa kongga.,Irul's mother is ordering an oven with Mustafa's.
An kalis perara olol.,I collect rainwater.
Opa kalis bara temun.,Earlier it rained hard.
Tumun opa sorat parein.,That kid sells fish.
Opa yuane mu Nyong esun mu keweunat seng paku.,Today they nailed Nyong's father's family's roof.
Davit esun serie Dian esun et orunat potma.,Davit's father ordered Dian's father to cut the stern of the canoe.
Orasat pi komeret.,We watch the time.
Laka kieun bo warta oronggos ramie reba.,Laka's wife went fishing and caught a redtoothed triggerfish.
Sontum lenget bo os iyarte minggi taloara paruotkin.,"People from the village went to get sand, they wanted to make a seawall? with it."
Os barikbarik me talok mulun me mambon.,At the seawall? there are nerite shells.
Kambur osep me osun barsi.,The Kambur beach has clean sand.
In kolaka bora marmari era in tok osie.,"We went up the hill, we rested first."
Mama leba mu Kambur oskitka mara.,Uncle imam and family went on land at Kambur beach.
Inininggan tebonggan bo Kambur oskol metkoa robaherkiem.,We all went to the beach edge of Kambur to bathe.
Los sieun me os marera reidak.,There are many wrasses at the edge of the dock.
Ospulpul me set maoyet.,The ospulpulfish finished the bait.
"Kalis our terus, daruon saun.","It rained on and on, from midday to the evening."
Pabalet reidak didirasko.,There are many flies in the kitchen.
Madi emun ma kiemat pabie.,Madi's mother is carrying a basket.
Wowa Ruslan emun ma padamual rep teba.,Aunt Ruslan's mother is getting pandanus.
Sontum Pakpaka mahara lampur padenunara usar eba lampurat napasang.,People from Fakfak came to install lampposts and then installed lamps.
Mu paden taburunara usar.,They install the king post.
Padewaden se kap.,The poles are rotten.
"Paer watko saerak, Gowienet me mambon.","There are no venus clams here, at Gowien there are."
"Mester kanggirun warum nekora, mu pahermara eba mu kou.","Mester had dirt in his eye, they opened it and blowed."
Paisor wilao yume kuat.,The current in the sea there is strong.
Paisor kesun lempuang emun me mambon.,There is spiral coral at Lempuang Emun.
Randa emun buok pak teba.,Randa's mother is chewing betel.
Dilurpak me tok yuon lalang ba pak yuane kalis se ur.,"In the fourth Islamic month the sun is still hot, but this month it's already raining."
Tanggor me sor pak me mambon.,In the mangrove there are moonfish.
Wer me pak arkon metko.,At Wer there as one pak plant.
Pak tubak.,It's a full moon.
Nabil balungun pakmang.,Nabil's balloon exploded.
Kalamang esun Pakpakara bot.,Kalamang's father went to Fakfak.
Palang arkon kanai kerunggo.,There is a bird's nest fern in the pili nut tree.
Urap me me palawak.,That street is slippery.
An kanggaranat palen.,I'm tying a bamboo floor.
Pandoki sanongara Bulat emun mu gaim.,Bulat's mother and family are sewing a nypa palm roof.
Pang osanggara in era lampur kewengga.,We go up to the summit ther to the lamp house.
Panggal me os tumun me mambon.,At the small beach there are spider conches.
Roti wa me he panggalan.,This bread is already swollen.
Panggala besten me Sakina mu amdirun me mambon.,Good cassava is in Sakina's family's garden.
Loi panggare!,Walk quickly!
Panggawangga me lenggo saerak.,There are no leeches in the village.
"Panggut ma me namankin? Ge o, Binkur esunkin.","Who's tool is this? Oh, just Binkur's father's."
Irul wat paning deba.,Irul is asking for coconut.
Bilal emun Baubaungga bora. Rajia emun komporat panok.,Bilal's mother is going to Baubau. Rajia's mother ordered a stove.
Mu panoat gerket nauhalarkin.,They asked for permission to marry.
Arifin Jido panok micaun tumtumunat nasalin.,Arifin Jido confirmed the circumcision of his child.
Suryan emun mu Walakangga botkinda mu marmarte naupanokpanok.,"Suryan's mother and family want to go to Gorom, they are walking around asking for permission to leave."
Panpan me Suo me reidak.,At Suo there are many limpet shells.
Distrik me kalis wandiet me se bo paos.,"On the mainland, if it rains like this everything turns into mud."
Kahamin parai me go saunet ma ewaet.,"The owl, when it's evening, hoots."
Tami emun me sor sira parair teba.,Tami's mother is splitting fish to dry.
Paramuang me watko saerak.,There are no crocodiles here.
Nyong esun keweunara paran.,Nyong's father makes the walls of his house.
Yahya mu amdirun me paransik.,Yahya and family's garden is closeby.
Bakri taraun se parar.,Bakri's grandfather is already awake.
In langganat oskitka pararani mara.,We extend wooden beams from the beach to inland.
Fitri kalifan parara.,Fitri extends the mat.
Din paras wa me pi keteles sairet me.,These embers would be good for baking maize.
Sakina emun mu amdirga bora manan muat parair.,"Sakina's mother and family are going to the garden, she (Sakina) also joins."
Randabon Nazuabon naras. Randa Nazuat paritman.,Randa and Nuzua were fighting. Randa scratched Nazua.
Esnem desa mu Mayor mu paror kerunggoa melalu.,The village head's family sit in front of Mayor's family's house.
Supri emun wele parua reba.,Supri's mother is picking vegetables.
Esa temun et mulunat potma paruak.,Uncle cuts the side of the canoe.
"Sor ma me gawarta, Nabil emun se paruak.","That fish was rotten, Nabil's mother threw it away."
"Kahamin sorat paruak, bal se mat nan.","The bird dropped the fish, the dog ate it."
Kokok yume parun kawarcie.,That chicken has a broken wing.
Mu tok keweat paruotnin.,They haven't made a house yet.
Mu tamanggara paruok? Etkitka.,Where did they exit from? From the boat.
Pasa jata tok maharatnin.,The government rice hasn't arrived yet.
Pasarom me naman mukin?,Who's ambarella is that?
Pasiem me Sakina mu me mambon.,At Sakina's there are yellow taros.
Moktar esun pasienggara bot.,Moktar's father went to the toilet.
Ka tok tumtumat pasiepteǃ,"You, expel the kids!"
"""Ur temun?"" ""Ge, pasier upǃ""","""Was the sea rough?"" ""No, the sea was calm!"""
Per masikit kirarunggo me pasirwasir.,The water next to the mosque is brackish.
Hami emun se paskot.,Hami's mother is a widow.
Abdulah emun im pasor teba.,Abdulah's mother is frying banana.
Amin esun mu Kiabangga marua watko pasparin maraouk.,Amin's father and family came from Kiaba to give the bride price.
An Burhan sungsungara melalu pat.,I'm sitting sewing Burhan's trousers.
Ma komaini bo korpatinunat kosara.,"She threw it, it hit her wounded leg."
Patin ter kon Mayor kieun tanunggo.,Mayor's wife has a scar on her hand.
Wise me nina anggon mu imat pau.,"Before, my grandmother cooked bananas in an earth oven."
Wise me mu pauat paruo.,"Before, they made earth ovens."
Binkur esun mu bat paruo ba pawan saerak.,Binkur's father and friends are making a container but there are no planks.
Burhan mu bo os payiem deba minggi bat paruotkin.,"Burhan and they are getting sand, they want to make a container with that."
Kindius me pearip kon metko.,At Kindius is a water pool.
Pebis ma me tamanggara luk?,"That women, where did she come from?"
Mu imat pel.,They cut the bananas.
Im me pel puraman?,How many bunches of banana is that?
Tarar me gosaunet me pelelu kuat.,"At Tarar, in the evening the cold wind is strong."
Ter wa me tok penin.,This tea is not sweet yet.
Penyakit kat nanetkon!,May an illness eat you!
Per natkin saerak.,There is no drinking water.
Ma per iriskap na reba.,She's just drinking water.
Ka per kerkap natkin deba ye kofir?,Do you want to drink tea or coffee?
Per kuskap saerak.,There is no coffee.
Per natawarten met mare ge.,"Give her that holy water, no?"
Per Unyil mukonggo me per pasirwasir.,The water at Unyil's is brackish.
Mu perbol taikon owatko.,They are at the river bank over there.
Manado mu bo perkio war.,Manadu and friends go fishing at the waterfall.
Citra etua ba pertamun taluknin.,Citra is crying but her tears aren't coming out.
Dalima pesawesaun temunat Irjan emun mu napinjang.,Dalima borrows a big spatula from Irjan's mother.
Pes gedung mulunggo me reidak.,There is a lot of trash next to the village building.
Wise me mu dodonat di peti nerunggo.,"Before, they put their clothing in a box."
Pi bo nebara paruotkin?,What are we going to do?
Pitis me pin.,That money is ours.
Pingan me losing puraman?,How many dozen plates is that?
Os met di tawirpis metkora merengguendar.,Gather that sand on that side!
Kalamang esun mu pitis nasarenun.,Kalamang's father's family have change.
Unyil mu po parin deba.,Unyil and family are selling breadfruit.
Muklis esun me pore kabaruap marok.,Muklis' father is anchored fishing for grouper.
Poar me kat neneret me mambon.,There are nerite shells inside the lake.
Neba polun? Taberak polun.,What kind of sap? Jackfruit sap.
Nazua emun kukisat potmara polas ememun.,Nazua's mother is cutting cake in big chunks.
Porkang Bakri mu keweun kirarunggo me kabaruap neko.,In the hole next to Bakri's family's house are groupers.
Tektek turi poska bara.,The knife fell down into the hole.
Posiwosi namankin?,Who's spear is that?
Bakri esun lot potma reba.,Bakri's father is cutting sinkers.
Unyil esun potporat komain.,Unyil's father stabbed a blue-spotted stingray.
Dorom kona poukta owa.,A drum floats over there.
Nyong esun Apriliara poup.,Nyong's father carries Aprilia.
Abdula emun mu Pourgara bot.,Abdula's mother and family went to Faor.
Powar me leng wa me saerak.,There are no horn shells in this village.
Mena an kat puet me ka lalat.,When I hit you you're dead.
Marni sor me pulun met potmar ye?,suruh plural but address only one speaker.
Som yu me kanggirun pulem-pulem.,That person is blinking with their eyes.
Pulkiet me munin me mambon.,On the west side of the island there is betel stem.
Tuma Onat pulma.,Tuma pinched Ona.
Juairia taraun mua ba pulorat parin.,Juairia's grandmother's family sell betel vine.
Pulpul narun sarim olunggo.,There are butterfly eggs on the guava leaf.
Pesawat wayarun naurarte bo pulpulkon.,The propeller of the plane was whirling.
Pulseka wat olunat na.,The grasshopper eats coconut leaf.
Pur wa me Randa emun Pakpakara jie.,"This betel fruit, Randa's mother bought it from Fakfak."
Wat ma me nak puraman?,How many coconuts are that?
Wat ma me tebonggan nak purap.,That are fifty cococnuts in total.
Bestalan purarar.,My hair is messy.
Manadu wa me nak purir.,These are twenty taros.
Sayang ma me purirbakon.,That are twenty-one nutmegs.
Bakri emun dondon waruo ba sabur se pus se bo...,Bakri's mother is washing clothes and the soap foams a lot.
Jikri pusirat paruo minggi bo sor karopkin.,"Jikri is making a bow, he wants to shoot fish with that."
Put puraman? Yeso.,How many tens? I don't know.
Mu sontum putirie bo rapat.,They eighty went to meet.
Ror ma me tebonggan putkaninggonie.,That wood all together is ninety pieces.
Sayang bungaun tagierun tebonggan putkaninggonie talinkaninggonie.,The weight of all the mace is ninety-nine.
Pitis ma me ripi putkansuor.,That is forty thousand rupiah.
Sor me et putkansuortalinggon.,That are forty-one fish.
Desi pitisun ripi putkaruok.,Desi has thirty thousand rupiah.
Ema desa buok paningda an tang putkaruoktalinggaruok ma.,"The village head's wife asks for betel, I give her thirty-three seeds."
Ror me reidaun putkaruoktalinggon.,The amount of wood is thirty-one pieces.
Kai yume putkaruok talinir.,That firewood is thirty-two pieces.
Alun ladanun kies putkon.,Alun has ten pieces of clothing.
Faldi sepatun nomorun putkonbakaruok.,Faldi wears shoes size thirteen.
Kokok nar ma me putkonbakon.,Those chicken eggs are eleven.
Polkayak ma me tebonggan putraman.,Those papaya's are sixty in total.
Nabil mutilun reidaun tebonggan putramandalin.,Nabil has seventy marbles in total.
Ki bo ra ba wuormar!,You go cut [it] down!
An yonsong nunat ra.,I hear the noise of the boat motor.
Dian emun owangga ra.,Dian's mother comes from there.
Tamandi emun me rak dodonun temun.,Tamandi's mother has a big clothes shelf.
Ram wilao yuame se korek.,The coral reef in this sea is dead.
Ram kolkemkem me tebolko.,There is kolkemkem coral at the reef edge.
Wie me nak raman.,There are six manggoes.
Mu naukiaka reon me mu ramandalin.,They are maybe seven siblings.
Bakri esun ma sor ramie reidak.,Bakri's father caught a lot of fish.
Sor tiri ran mian.,The fish swims back and forth.
Rang yuame pasier up.,This open sea is quiet.
Mu raor yumetkoa war.,They fish in the middle there.
Nyong emun mu garungda mu rap.,"Nyong's mother and friends are chatting, they laugh."
Nema namun me sontum Rarait.,Nema's husband is a Seramese.
Nina kalifanat paruotkinda ma tok rarie.,"Grandmother wants to make a mat, she softens the pandanus stirps first."
Lenggalengga ma me reidak.,There is much chilli.
Ka manadu met mara talalu reidaksawe.,You gave him too much taro.
Ma sorat kara reingge.,He didn't give you much fish.
Onin esun pokpounat parinda ripi reirap.,Onin's father sold his small motor for 500.000.
Mayor kieun ladanat ka reon?,Maybe Mayor's wife gave you a shirt?
In Kindiuska bora an rerat arkoni wuorma.,"We go to Kindius, I want to cut a rer tree."
Wowa Ruslan me mu rerer teba.,Aunt Ruslan and friends are chatting.
Sasep temun kona warip ye.,"A squirrelfish this big, maybe."
Kukia me me ripionde kon.,Those cookies cost one thousand per piece.
Wat ime ririn.,That coconut is tall.
Mena hari robaet eba Dela esun mu Pakpaka boet.,When it's Wednesday Dela's father and family go to Fakfak.
Ror garta me watko saerak.,There are no rubber trees here.
Ror iriskap me Wapkoa mambon.,For gum tree/eucalyptus you have to go to Sanggalabai to find it.
Ror tabur met ka tok potmatnin?,"That tree stump, didn't you cut it yet?"
Ror karok me he sa.,That tree branch is dried out.
Tanisa ma me se rouk.,The tanisa tree has fallen over.
Dian esun tiri bo owanggata koi roye.,Dian's father runs over there then turns around again.
Hairul lampurat ruan.,Hairul turned of the lights.
Malik ruarat etkoni ramie.,Malik caught a shark.
Ruar bodaren etkon metko nalat.,There is a dead tawny nurse shark over there.
Ruar kanggir nungnung me pi kurang kona.,We seldom see the tawny nurse shark.
Bobi emun rumramie reidak.,Bobi's mother caught many rum fish.
Mama Putih me namun Rumbatica.,Mama Putih's husband is from Onin.
Rumrum Kambur oskeit me bo rasa.,The rumrum plant at Kambur beach is very good.
Abdulah emun panggala ruo reba.,Abdulah's mother is digging cassava.
Ka pasat kuarta he ruon.,"You cook rice, it's already done."
Ruom yawene tumtum kanggeit.,At the foothill down there the kids play.
Abdulah esun me ruop sore erunara pawankin.,Abdulah's father is cutting plugs; he wants to put planks on his canoe.
"Suo me rur kurang me, ar konkodak.","At Suo there aren't many casuarina's, just a few."
Onin esun me hukat paruakta sor rurkon.,Onin's father fished with a net an caught one skewer of fish.
Riski emun mu sayangun arkon sa.,Riski's mother's family have one dry nutmeg tree.
Mayor saban potma minggi tal kanietkin..,Mayor is cutting saban bamboo; he wants to make a fence with it.
Pak guru Elisa me Sabaorca kon.,Teacher Elisa is a Buruwai.
Et sabar me he durcie.,The front of the boat is leaking.
Nyong emun mu keweun me sabarak napaki.,Nyong's mother's family's house has space under it.
Mayor me koi sabelunara masir.,Mayor is weeding is cleared spot in the forest.
Ramli kieun sabet mat paruo.,Ramli's wife is suffering from a boil.
Alun esun sungsung kahen sabur teba.,Alun's father is wearing long trousers.
Mustafa emun mu nasuena saerak.,Mustafa's mother's family don't have sugar.
Wat ma me muinsaet.,Those coconuts are all theirs.
"Saier, kamun nein me ka asokmang.","That's bad luck, don't eat or you'll be short of breath!"
Saimbumbu me jaranget eba pi konanet.,We seldom see a dragonfish.
Usmanbon Kadirbon bo sairarar kowar.,Usman and Kadir go lobster diving.
Wowa Kambur emun panggala kawayatkin ba sakarip saerak.,Aunt Kambur's mother wants to plant cassava but she doesn't have a dibble stick.
Laka mu keweunat Tatko paruo ba salat dira.,Laka and family are making their house at Tat and they are putting up the roof wood.
Fitri ma me sala.,Fitri is wrong.
Ka eware sala.,You talk wrongly.
Mama leba et sabarun salaboung.,Uncle imam's front of his canoe is broken
Sayang salaon.,Ten thousand nutmegs.
Salawei Tanggor me mambon weinun.,At Tanggor there are cone shells too.
Kiem met salirte.,Move that basket.
Samameng warat daruore bo reidak.,The civet cat pierced many coconuts.
Nazua me ranti samorara napaki.,Nazua is wearing a chain with beads.
Ladan wa me samsik.,This shirt is thin.
Samuret sontum ma luk.,A Mbaham person is coming.
Ona dunun me sanam mat paruo.,Ona's sibling is suffering from smallpox.
Sanggan ma me wat met na ma durma.,The beetle is piecing that coconut.
Embir me sangganun se gosomin.,That bucket's lid has disappeared.
Alun esun bo Alunat sanggaran.,Alun's father goes to look for Alun.
Usman lepalepa yonsungunat sanggat kokanie.,Usman is tying an outrigger to his motor canoe.
Pawan posun met Irjan esun se sanggie.,Irjan's father already closed that hole in the plank.
Sanggien me warkin emun me ma ewaet me besun.,If the tide is very low you can hear the cenderawasih very well.
Moktar sanggoup potma reba.,Moktar is cutting branches.
Suar karuok kon sanggoyien.,An iron wood branch broke off.
Kewe sanong me he pururu.,The leaf roof is destroyed.
Mei bo warta sanualat ramiera bo reidak.,Mei went fishing and caught many humpback snappers.
Sundus ma saor inggonara napaki.,Sundus is using our anchor.
Kerar kona yawengga saouk.,A turtle emerges down there.
Om Ipin mua Tamisengga sara.,Uncle Ipin and family come up from Antalisa.
Inininggan bo sayangsara.,We all go to harvest nutmeg.
Alifa kortas me paruo sarakmang.,Alifa makes the paper rustle.
Kalis mununara sarangburung na.,It's rain bugs that swallows eat.
Saraminan Burhan se bo paruak.,Burhan went to throw away my glasses.
Saranggeit me epka wa me saerak.,"Lately, there are no saranggeit sea cucumpers here."
Rajiba emuna saraunun kon.,Rajiba's mother has one rice field hat.
Bakri esun mu bo sarbal war teba.,Bakri's father and friends are fishing for groupers.
Go dung Dian esun mu Pakpaka botkin ba et saren.,"In the morning Dian's father's family want to go to Fakfak, but the canoe is stranded."
Ibu guru emuna sarem mambon reidak.,The teacher's mother has a lot of ginger.
Faris esun mat sirie ba ma jabul esun mat sarie.,Faris' fater chases him but he's tired of is father chasing him.
Tarus me eba sarieng mambon.,First when you arrive at Tarus there are cliffs.
Tat me sarik arkon metko ba ma he lalat.,There is a cockspur coral tree at Tat but it's dead.
Mas me sarim teun reidak.,There are many guavas in Mas.
Mas sarit tumun me sor na.,At the small shoal at Mas the fish feed.
Panggala me se koi saroumsaroumdaet.,The cassava is already shooting again.
Unyil esun ma kumisunat sarua. Irul ma potlorunat saruan.,Irul sharpens his pencil.
Bakri emun sarun ma mambon.,Bakri's mother has a rice sieve.
Ma kairep teba ba sasat ma he ecien.,He was getting firewood but quickly he returned.
Supri ma loska wienmukta ma koi sasep ramie reba.,Supri was fishing from the dock; then she was catching squirrelfish.
Mei ma erunat ma saser kanie reba.,Mei is tying the outrigger of his canoe.
Tami esun mu bo sasirip potma minggi sayang karuar.,Tami's father and family went to gut sasirip bamboo; they want to make a nutmeg drying rack with it.
Suci emun sasul panok Bilal emunbon.,Suci's mother orders a spoon with Bilal's mother.
Opa saun me kalis baranin.,Last night it didn't rain.
Unyil emun mu nontonet me se bo saun lat.,Unyil's mother and family watch tv until late at night.
Mena tolaset me tumtum saurat gonggunget me se parar.,"When it's ramadan month, when the children call the Zuhr prayer we get up."
Lampur lalara leng se bo sausaun.,"There is a power cut, the village is dark."
An barara go sausaunda an sawaluowaluoi bara.,When I go down when it's dark I go down feeling around.
Sawarer wilak yua me reidak.,There are many tortoises in the sea here.
Sayang se sawaun.,The nutmegs are ripe.
Sawawien me Namandar me mambon.,At Namandar there is sawawien string.
Gustami me pi mat siriret me ma jabulsawe.,"Gustami, if we order him to do something he's lazy."
Sayang arun me kalista ma bo palawak.,If it rains the nutmeg tree is slippery.
Sayang bungaun parinun wanggon wa me rasa.,The mace price like this is good.
Sayang tangunan parinun bes.,The nutmeg seed has a good price.
Sudir mu seat etkoni jiera mu pasaromggo kanie.,Sudir and friends got a cuscus; they tied it to the ambarella.
Binkur esun mu bat paruo ba se koyet.,Binkur's father and friends were making a container but they're finished.
Sebua etkon marua Rustam kokounat na.,A lizard went seawards and ate Rustam's chicken.
Sebuaror me pi potmaret me sebua piat pareir.,"If we cut sebuaror, the lizard follows us."
Sadawak me parinun puraman?,"The machethe, how much does it cost?"
Ardi esun ma bo sairkoa sek.,Ardi's father goes fishing at the fish feeding spot.
Yanti me se sekolanin.,Yanti doesn't go to school.
Bo ladan seletkonja koni saburte.,Go wear that piece of clothing!
Unyil tumunun anat sem.,Unyil's child is afraid of me.
Sembamsembam me los mul me mambon.,There are damselfish next to the dock.
Tumtum Tatko kanggeire mu gol sempang.,The kids are playing football at Tat.
Randa emun me ma semsuk.,Randa's mother is caught with fear.
Kieun yie wasen.,His wife was swimming (in the water) up until here.
An sayangat di serneko.,I put the nutmegs in the attic.
An sayangat sergi koser.,I'm harvesting nutmegs with a hook.
Mu bo ar ba sere reidak.,They went diving but there were many itchy fish.
Bakri taraun sirie Kiba esun sereat di suolunggo yuon.,Bakri's grandfather ordered Kiba's father to rub nettles on his back.
Faldi mu bo sor karopta sere kokokteng mat sie.,Faldi and friends went to shoot fish and a sea fern stung him.
Burhan mu bo sere taraun kowarte mu keitkin.,Burhan and friends went to dive for anemone fish to keep.
Irul emun manadu seser.,Irul's mother is peeling taros.
Rifai emun bo warta seser ramie bo reidak.,Rifai's mother went fishing and caught many bridled monocle breams.
Seser serein Bobi emunat sie.,An itchy sea creature stung Bobi's mother.
Tami esun bo set sanggara reba.,Tami's father went to search for bait.
Lamani esun kaipotmara wewar seurte kurunat kosara.,Lamani's father was cutting firewood and the axe bounced off and hit his leg.
Leng wa me inun me Sewa.,This village is called Sewa.
Satawia esun bo warta koi siabora ramie.,Satawia's father went fishing and caught a signal goby.
"Ur se bore siamarun, irisaet.","The wind blows terribly, the wave crests are white."
Sere anat sie. Tomi ma sedawaksie reba.,Tomi is sharpening a machete.
Tumtum yume kanggeiret me siepsieun.,Those kids play at the very edge.
Bayu esun ma karek sieunat potma.,Bayu's father cuts the edge of the rope.
"Nabil emun ma marur mat paruora, ma sik.","Nabil's mother is bothered by mucus, she sneezes."
Sikan soranat nara an komahal.,"A cat ate my fish, I didn't know."
Yol taman me Tiworat usiep me kibi sikasika me reidak.,At a certain time at Tiworat shoal there were many leopard sea cucumbers.
Sikekan kona oskeitko marmar.,A seagull walks on the beach.
Sil me nasiwet eba pi koluet.,Only by fortune we find volute shells.
Ana borara ma me silepko.,I'm in the front the's in the back.
Aina emun mu sililar repte minggi kalifan paruotkin.,Aina's mother and family went to get sililar pandanus; they want to make a mat with it.
Salima emun don patkin ba sin saerak.,Salima's mother wants to sew clothing but there is no needle.
Singasingat Unyil mu keweun me reidak.,At Unyil's house there are many ants.
Go he sir.,The sky has cleared up.
Bobi emun sorsira reba.,Bobi's mother is salting fish.
Tami emun ma sirarai paruo reba.,Tami's mother is making a twig broom.
An me siriaran me se kawarcie.,My oven has cracked.
Rukmana emun ma Rukmanat sirie bo pulor jie.,Rukmana's mother ordered Rukmana to buy betel leaf.
Sisiapong Madi emunat sie.,A lionfish stung Madi's mother.
An bestalanat sisirkin ba sisiran saerak.,I want to comb my hair but I don't have a comb.
Salima esun ror buabuara so.,Salima's father is peeling round wood.
Sobasta ma he Pakpaka bot.,He went to Fakfak at dawn.
Binkur esun kareat kaniera se bo sok.,Binkur's father tied rope until it was tangled.
Hawa tumunun cicaun me ma soksok.,Hawa's small child has the hiccups.
Sol karek watko saerak.,There is no rattan here.
Tomi emun solim cigire natkin.,Tomi's mother caught a solim fish; she wants to eat it.
Som yume lukte nebara paruo?,That persone that came what is he doing?
"Yo, haidak someǃ","Yes, of course it's true!"
Pier se ecieret someǃ,"Come one, let's go already!"
Som kona Pourko somin.,A person in Faor died.
